marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
le sue agili zampe correvano come non mai superando ogni ostacolo e portandolo al sicuro.||||ZAMPE+SUE+AGILI+(PASSATO)+CORRERE+COME+NON+MAI+(PASSATO)+SUPERARE+OGNI+OSTACOLO+(PASSATO)+PORTARE+SICURO
quando finalmente l'animale fu lontano da ogni pericolo poté fermarsi per riprendere fiato.||||QUANDO+FINALMENTE+ANIMALE+(PASSATO)+ESSERE+LONTANO+OGNI+PERICOLO+(PASSATO)+POTERE+(PASSATO)+FERMARSI+RIPRENDERE+FIATO
"che buffo," pensò il cervo "io ammiravo tanto le mie belle corna ed invece esse mi hanno tradito mentre invece, queste zampette apparentemente fragili che disprezzavo mi hanno salvato la vita!"||||BUFFO+PENSIERO+CERVO+IO+(PASSATO)+AMMIRARE+TANTO+BELLE+CORNA+MIE+INVECE+ESSE+(PASSATO)+TRADIRE+MENTRE+INVECE+ZAMPETTE+QUESTE+APPARENTEMENTE+FRAGILI+CHE+(PASSATO)+DISPREZZARE+(PASSATO)+SALVARE+VITA
la bellezza e la forza fisica non sono sempre d'aiuto mentre le cose apparentemente più fragili possono diventare, nel momento del bisogno, grandi alleate.||||BELLEZZA+FORZA+FISICA+(PRESENTE)+ESSERE+NON+SEMPRE+AIUTO+MENTRE+COSE+APPARENTEMENTE+PIÙ+FRAGILI+(PRESENTE)+POTERE+DIVENTARE+MOMENTO+BISOGNO+GRANDI+ALLEATE
era una mattina di primavera.||||PRIMAVERA+MATTINA+ERA+(PASSATO)
il sole brillava alto in un cielo azzurro e limpido||||SOLE+ALTO+BRILLARE+(PASSATO)+CIELO+AZZURRO+LIMPIDO
mentre un gruppo di uccellini cinguettavano allegramente tra i rami di un'alta quercia.||||RAMI+QUERCIA+ALTA+GRUPPO+UCCELLINI+ALLEGREZZA+CINGUETTARE+(PASSATO)
proprio quel giorno un grande orso e un vecchio cane decisero di catturare un cervo da tenere rinchiuso nel recinto del podere per allietare i loro cuccioli.||||GIORNO+QUELLO+ORSO+GRANDE+CANE+VECCHIO+DECIDERE+(PASSATO)+CATTURARE+(FUTURO)+CERVO+RECINTO+PODERE+ALLIETARE+CUCCIOLO+LORO
così, vagando tra i campi, videro quasi per caso l'animale che pascolava sereno.||||CAMPO+VAGARE+(PASSATO)+VEDERE+(PASSATO)+CASO+QUASI+ANIMALE+PASCOLARE+(PASSATO)+SERENITÀ
senza perdere tempo gli corsero incontro per agguantarlo ma fortunatamente egli, comprendendo al volo la situazione, si lanciò in una corsa sfrenata per sfuggire alle loro insidiose grinfie.||||TEMPO+PERDERE+(PASSATO)+NO+INCONTRARE+CORRERE+(PASSATO)+AGGUANTARE+(FUTURO)+MA+FORTUNA+COMPRENDERE+(PASSATO)+SITUAZIONE+VOLO+LANCIO+(PASSATO)+CORSARE+SFRENATO+SFUGGIRE+(FUTURO)+GRINFI+INSIDIOSO+LORO
poco distante cresceva, placidamente accarezzata dai caldi raggi del sole che dominava il cielo, una magnifica vite selvatica ricolma di fronde e grappoli di un'uva succosa e matura.||||DISTANTE+POCO+CRESCERE+(PASSATO)+PLACIDITÀ+ACCAREZZARE+RAGGIO+SOLE+CALDO+DOMINIO+CIELO+VITE+MAGNIFICA+SELVATICO+FRONDA+GRAPPOLO+UVA+SUCCOSO+MATURO
il cervo decise di nascondersi all'ombra di quel folto intrico di foglie, sicuro che nessuno sarebbe mai riuscito ad individuarlo.||||CERVO+DECIDERE+(PASSATO)+NASCONDERE+(FUTURO)+OMBRA+INTRICO+FOLTO+FOGLIA+SICURO+NESSUNO+RICASCIRE+(FUTURO)+INDIVIDUARE+(FUTURO)
infatti, quando l'orso e il cane passarono non furono in grado di vederlo e andarono oltre.||||INFATTI+ORSO+CANE+PASSARE+(PASSATO)+NON+ESSERE+(PASSATO)+CAPACE+VEDERE+(PASSATO)+E+ANDARE+(PASSATO)+OLTRE
tranquillizzato per lo scampato pericolo, l'animale tirò un sospiro di sollievo e, allettato dal buon profumo che emanava la vite, iniziò a mangiucchiare i suoi grappoli d'uva e le sue gustose foglie.||||PERICOLO+SCAMPARE+(PASSATO)+TRANQUILLO+ANIMALE+TIRARE+(PASSATO)+SOSPIRO+SOLLIEVO+E+ALLETTARE+(PASSATO)+PROFUMO+BUONO+EMANARE+(PASSATO)+VITE+INIZIARE+(PASSATO)+MANGIUCCHIARE+(PASSATO)+GRAPPOLO+SUO+UVA+FOGLIA+GUSTOSO+SUO
fu proprio in quel momento che il cane si accorse della sua presenza: ascoltando con attenzione egli aveva potuto distinguere quello strano rumore e, tornando sui suoi passi riuscì a scorgere il cervo che masticava la vigna incurante del pericolo.||||MOMENTO+QUELLO+ESSERE+(PASSATO)+CANE+ACCORGERE+(PASSATO)+PRESENZA+ASCOLTARE+ATTENZIONE+DISTINGUERE+(PASSATO)+RUMORE+STRANO+E+TORNARE+SUO+PASSO+RISCIRE+(PASSATO)+SCOPRIRE+CERVO+MASTICARE+(PASSATO)+VIGNA+INCURANTE+PERICOLO
i due cacciatori gli balzarono addosso e lo catturarono senza difficoltà trascinandolo fino alla loro fattoria.||||CACCIATORE+DUE+BALZARE+(PASSATO)+ADDOSSO+E+CATTURARE+(PASSATO)+SENZA+DIFFICOLTÀ+TRASCINARE+(PASSATO)+FINO+FIENILE+LORO
da quel giorno in poi, il povero cervo fu costretto a pascolare solo all'interno di un recinto divenendo un'attrazione per i cuccioli che lo ammiravano divertiti.||||GIORNO+QUEL+DA+IN+POI+CERVO+POVERO+ESSERE+(PASSATO)+COSTRINGERE+(PASSATO)+PASCOLARE+SOLO+DENTRO+RECINTO+DIVENTARE+(PASSATO)+ATTRATTO+CUCCIOLO+CHE+AMMIRARE+(PASSATO)+DIVERTITO
e tutto a causa della sua golosità.||||E+TUTTO+CAUSA+GOLOSITÀ+SUO
a volte, le premature certezze, si trasformano in delusioni molto pericolose.||||VOLTA+A+LE+CERTO+PREMATURO+TRASFORMARE+(PRESENTE)+DELUSIONE+MOLTO+PERICOLOSO
non bisogna mai sottovalutare il pericolo finché esso non è realmente passato.||||NON+DOVERE+MAI+SOTTOVALUTARE+PERICOLO+FINCHÉ+ESSO+NON+ESSERE+(PASSATO)+PASSARE+(PASSATO)+REALMENTE
un vecchio contadino durante la stagione||||CONTADINO+VECCHIO+STAGIONE+INVERNO
dell'inverno, avendo trovato una serpe||||TROVARE+(PASSATO)+SERPE
intirizzita dal freddo e avendone avuto||||INTIRIZZIRE+FREDDO+COMPASSIONE+AVERE+(PASSATO)
compassione, la prese e se la mise in seno.||||SERPE+PRENDERE+(PASSATO)+SEN+METERE+(PASSATO)
quella poi, riscaldandosi e riprendendo la||||QUELLA+RISCALDARE+(PASSATO)+NATURA+PROPRIA+RIACQUISIRE+(PASSATO)
propria natura, ferì il benefattore e lo uccise.||||BENEFICIO+DARE+BENEFACTOR+FERIRE+(PASSATO)+UCCIDERE+(PASSATO)
allora lui morendo disse: "ho quello che||||MORIRE+(PRESENTE)+DIRE+(PASSATO)+AVERE+(PRESENTE)
mi merito, poiché ho avuto compassione di||||MERITO+PERCHÉ+COMPASSIONE+AVERE+(PASSATO)
quella malvagia".||||QUELLA+MALVAGITÀ
la favola mostra che i malvagi sono immutabili,||||FAVOLA+MOSTRARE+MALVAGIO+IMMUTABILE
anche se sono trattati con estrema bontà.||||ANCHE+SE+TRATTARE+(PRESENTE)+BONTÀ+ESTREMO
un corvo aveva rubato un pezzo di carne ed era andato a posarsi su di un albero.||||CORVO+CARNE+PEZZO+(RUBARE+PASSATO)+ALBERO+SOPRA+(ANDARE+PASSATO)
lo vide la volpe e le venne voglia di quella carne.||||VOLPE+CORVO+CARNE+QUELLA+(VEDERE+PASSATO)+(VENIRE+PASSATO)+VOLERE
si fermò à suoi piedi e cominciò ad adularla, facendo grandi lodi del suo corpo perfetto e della sua bellezza, della lucentezza delle sue penne, dicendo che nessuno era più adatto di lui ad essere il re degli uccelli, e che lo sarebbe diventato senz'altro, se avesse avuto la voce.||||VOLPE+PIEDI+CORVO+(FERMARE+FUTURO)+(INIZIARE+PASSATO)+LODARE+CORPO+PERFETTO+BELLEZZA+PELLE+LUCENTE+DIRE+ADEGUATO+RE+UCCELLI+(DIVENTARE+FUTURO)+VOCE+(AVERE+FUTURO)
il corvo, allora, volendo mostrare che neanche la voce gli mancava, si mise a gracchiare con tutte le sue forze, e lasciò cadere la carne||||CORVO+VOCE+NON+MANCARE+(MOSTRARE+FUTURO)+(INIZIARE+PASSATO)+GRACCHIARE+FORZA+TUTTA+CARNE+(LASCARE+PASSATO)
la volpe si precipitò ad afferrarla e beffeggiò il corvo soggiungendo: "se, poi, caro il mio corvo, tu avessi anche il cervello, non ti mancherebbe altro, per diventare re".||||VOLPE+CARNE+(PRECIPITARE+PASSATO)+CORVO+(BEFFEGGIARE+PASSATO)+CERVELLO+SE+AVERE+NON+MANCARE+ALTRO+PER+(DIVENTARE+FUTURO)+RE
tempo fa un cucciolo di corvo assai vivace e irrequieto se ne andava a zonzo tutto il giorno sbirciando in faccende che non lo riguardavano.||||CORVO+CUB+VIVACE+IRREQUIETO+GIORNO+PASSARE(ZONZO)+GUARDARE(FACCENDE)+NO(RIGUARDARE)
ficcava il becco in ogni cosa e non perdeva l'occasione di fare scherzi o dispetti ad ogni animale.||||BECCO+METTERE(OGNI+COSA)+OCCASIONE+PERDERE(NO)+FARE(SCHERZI/DISPETTI)+ANIMALE(OGNI)
quel mattino però, la sua monelleria lo spinse a compiere ciò che non avrebbe mai dovuto fare.||||MATTINO+MONELLARIA+SPINGERE(COMPIRE)+DOVERE(NO)(FUTURO)
si intrufolò infatti in una piccola casa situata al limitare del bosco e lesto, lesto rubò un bel pezzo di carne sistemato sul davanzale della finestra spalancata.||||CORVO+INTRUFOLARE(PASSATO)+CASA+PICCOLO+BOSCO(LIMITE)+VELOCE+RUBARE(PASSATO)+CARNE+PEZZO+BELLO+FINESTRA+DAVANZALE+APERTO
per sua sfortuna il contadino fece in tempo ad accorgersi del furto e, senza esitare, colpì il corvo con una pietra.||||SFORTUNA+CONTADINO+FARE(TEMPO)(PASSATO)+ACCORGERSI(FURTO)+ESITARE(NO)+COLPIRE(PASSATO)+CORVO+PIETRA
ecco fatto! il ladro fu colpito in pieno.||||FATTO+LADRO+COLPIRE(ESSERE)(PASSATO)+PIENO
quel pezzo di carne gli costò caro!||||CARNE+PEZZO+COSTARE(CARO)
ferito e spaventato il corvo se ne tornò al nido volando piano per il male, quindi si sdraiò sfinito tra le braccia della sua cara mamma.||||CORVO+FERIRE+SPAVENTARE+TORNARE(NIDO)(PASSATO)+VOLARE(PIANO)+DOLORE+SDRAIARE(PASSATO)+SFNITO+BRACCIO+MAMMA+CARO
questa, disperata per le condizioni del figliolo, scoppiò in lacrime sfogando la propria preoccupazione.||||MAMMA+DISPERARE(CONDIZIONE)+SCOPPIARE(LACRIME)(PASSATO)+SFOGARE(PREOCCUPAZIONE)
"oh, mammina!" disse il cucciolo "prega per me affinché la mia ferita guarisca".||||MAMMA+PICCOLO+DIRE(PASSATO)+PREGARE+IO+GUARIRE(FUTURO)(FERITA)
la corva colma di tristezza rispose: "povero piccolo mio, come puoi chiedere un miracolo se non ti sei nemmeno pentito del male commesso?"||||MAMMA+TRISTE+RISPONDERE(PASSATO)+PICCOLO+POVERO+COME+CHIEDERE+MIRACOLO+SE+PENTIRE(NO)(PASSATO)+MALE+FARE(PASSATO)
solo in quel momento il corvo comprese la sua colpa e giurò a se stesso di non rubare mai più in vita sua.||||MOMENTO+SOLO+CORVO+CAPIRE(PASSATO)+COLPA+GIURARE+SE+RUBARE(NO)+MAI+VITA
fortunatamente la ferita riportata durante la scorribanda alla fattoria si rimarginò in fretta e il cucciolo riacquistò le forze.||||FORTUNA+FERITA+SCORRIBANDA+FATTORIA+GUARIRE(PASSATO)+VELOCE+CUB+RECUPERARE(FORZA)(PASSATO)
quando fu completamente guarito poté tornare a svolazzare tra gli alberi ma, ricordandosi della promessa fatta, da quel giorno non toccò più ciò che non gli apparteneva.||||QUANDO+GUARIRE(PASSATO)+COMPLETO+POTERE(TORNARE)(PASSATO)+VOLARE+ALBERO+MA+RICORDARE(PROMESSA)+DA+GIORNO+TOCCARE(NO)(PASSATO)+APPARTENERE(NO)
aveva imparato a sue spese il significato della parola "furto".||||IMPARARE(PASSATO)+SPESE+SIGNIFICATO+PAROLA+"FURTO"
gli insegnamenti appresi sulla propria pelle sono i più severi e non potranno mai essere dimenticati.||||INSEGNAMENTO+IMPARARE(SULLA+PELLE)(PASSATO)+SEVERO+PIÙ+POTERE(DIMENTICARE)(NO)(FUTURO)
quel giorno un paffuto granchio arancione, era proprio di ottimo umore.||||GIORNO+GRANCHIO+PAFFUTO+ARANCIONE+UMORE+OTTIMO+ESSERE+(PASSATO)
se ne andava passeggiando allegramente per la spiaggia riscaldata dal sole.||||SPIAGGIA+RISCALDATA+SOLE+PASSEGGIARE+ALLEGREZZA+ESSERE+(PASSATO)
canticchiando la sua canzoncina preferita, una vecchia serenata imparata chissà dove.||||CONTINUARE+CANTARE+CANTONCINA+PREFERITA+SERENATA+VECCHIA+IMPARARE+(PASSATO)+DOVE
egli si vantava spesso con gli altri abitanti del mare, della sua capacità di poter vivere tranquillamente sia dentro che fuori dall'acqua.||||GRANCHIO+VANTARE+(PASSATO)+SPESSO+CON+ALTRI+ABITANTI+MARE+CAPACITÀ+VIVERE+DENTRO+FUORI+ACQUA
e quelli, senza nascondere un pizzico d'invidia, lo osservavano camminare tranquillamente sulla terraferma.||||QUELLI+SENZA+NASCONDERE+INVIDIA+PIZZICO+OSSERVARE+GRANCHIO+CAMMINARE+TRANQUILLAMENTE+TERRAFERMA
ogni volta però, il buon granchio riportava ai suoi amici pesci un grazioso ricordino delle sue escursioni.||||VOLTA+OGNI+GRANCHIO+RIUNIRE+(PASSATO)+A+AMICI+PESCI+RICORDINO+GRAZIOSO+DI+ESCURSIONI
ma quel mattino egli non ne voleva proprio sapere di rientrare in acqua.||||MATTINO+QUEL+GRANCHIO+NON+VOLERE+(PASSATO)+SAPERE+RIENTRARE+ACQUA
il cielo era tanto limpido e sereno da attirare l'ammirazione anche dei più indifferenti.||||CIELO+LIMPIDO+SERENO+ATTIRARE+AMMIRAZIONE+ANCHE+INDIFFERENTI+ESSERE+(PASSATO)
per questo il granchietto continuò la sua lunga passeggiata.||||PER+QUESTO+GRANCHIETTO+CONTINUARE+(PASSATO)+PASSEGGIATA+LUNGA
nello stesso giorno, una giovane volpe insoddisfatta per la scarsità del suo pranzo quotidiano, si aggirava affamata per la spiaggia in cerca di qualcosa da mettere sotto i denti.||||GIORNO+STESSO+VOLPE+GIOVANE+INSODDISFATTO+SCARSITÀ+PRANZO+QUOTIDIANO+AGGIRARE+SPIAGGIA+CERCARE+MANGIARE
camminava molto arrabbiata con sé stessa per l'incapacità dimostrata a procurarsi del cibo quando vide, quasi per caso, l'ignaro granchio fermo sulla sabbia a contemplare il paesaggio.||||VOLPE+CAMMINARE+ARRAPPIATO+INCAPACITÀ+PROCURARE+CIBO+VEDERE+(PASSATO)+QUASI+CASO+GRANCHIO+FERMO+SABBIA+GUARDARE+PAESAGGIO
la volpe gli si avvicinò curiosa e con un balzo gli piombò proprio davanti.||||VOLPE+AVVICINARE+(PASSATO)+CURIOSO+BALZO+DAVANTI+PIOMBARE+(PASSATO)
il povero granchio si prese uno di quegli spaventi memorabili che rimangono bene impressi nei nostri ricordi per tutta la vita e, cercando di indietreggiare si riparò con le zampine.||||GRANCHIO+PRENDERE+(PASSATO)+SPAVENTO+MEMORABILE+IMPRIMERE+(PASSATO)+RICORDI+NOSTRI+TUTTA+VITA+INDIETREGGIARE+RIPARARE+(PASSATO)+ZAMPINE
la volpe era decisa e pronta a mangiarselo in un sol boccone pur non sapendo bene di che animale si trattasse.||||VOLPE+DECIDERE+(PASSATO)+PRONTO+MANGIARE+BOC
fortunatamente il granchio, riavutosi dalla paura, riuscì a respingere il suo nemico sfoderandogli le sue terribili tenaglie e pungendogli il muso.||||FORTUNATAMENTE+GRANCHIO+RIAVUTE+(PASSATO)+PAURA+RIUSCIRE+(PASSATO)+RESPINGERE+NEMICO+SFOGLIARE+(PASSATO)+TENAGLIA+TERRIBILE+PUNGERE+MUSO
dopo la fuga della volpe sconfitta, il granchio si tuffò in acqua e andò a raccontare la sua brutta avventura agli amici spiegando quanto fosse più sicuro vivere nel mare!||||DOPO+FUGA+VOLPE+SCONFITTO+GRANCHIO+TUFFARE+(PASSATO)+ACQUA+ANDARE+(PASSATO)+RACCONTARE+AVVENTURA+BRUTTO+AMICI+SPIEGARE+SICURO+VIVERE+MARE
d'estate, quando il calore provoca la sete, un leone e un cinghiale andarono a bere a una piccola fonte.||||ESTATE+CALORE+SETE+LEONE+CINGHIALE+FONTE+PICCOLA+ANDARE+(PASSATO)
cominciarono a litigare su chi dei due dovesse dissetarsi per primo.||||LEONE+CINGHIALE+LITIGARE+(PASSATO)+CHI+PRIMO+DISSETARSI
la lite si inasprì fino a trasformarsi in duello mortale.||||LITE+INASPRIRE+(PASSATO)+TRASFORMARE+(PASSATO)+DUELLO+MORTALE
ma ecco che, mentre si volgevano un momento per riprendere fiato, scorsero degli avvoltoi che stavano lì ad aspettare.||||LEONE+CINGHIALE+VOLGERE+(PASSATO)+MOMENTO+FIATO+RIPRENDERE+AVVOLTOI+VEDERE+ASPETTARE
il primo che sarebbe caduto, per mangiarselo.||||PRIMO+CADERE+(FUTURO)+AVVOLTOI+MANGIARE
a tal vista, ponendo fine al duello, dichiararono: "meglio diventare amici che diventar pascolo di avvoltoi e di corvi".||||VISTA+DUELLO+FINE+METTERE+LEONE+CINGHIALE+DICHIARARE+(PASSATO)+AMICI+DIVENTARE+PASCOLO+DIVENTARE
nel bosco dei millefiori gli animali stanno preparando la festa di primavera: vogliono dare il benvenuto al risveglio della natura e dei piccoli animaletti che erano in letargo.||||ANIMALI+BOSCO+MILLEFIORI+FESTA+PRIMAVERA+PREPARARE+RISVEGLIO+NATURA+PICCOLI+ANIMALET+TO+DARE+(PRESENTE)+BENVENUTO
i castori sistemano il palcoscenico per danzare, gli uccelli pensano alle luci e gli scoiattoli alle decorazioni.||||CASTORI+PALCOSCENICO+SISTEMARE+(PRESENTE)+UCCELLI+LUCI+PENSARE+(PRESENTE)+SCOIATTO+LI+DECORAZIONI+PENSARE+(PRESENTE)
arriva la sera e la festa comincia: c'è chi balla, chi canta e chi mangia.||||SERA+ARRIVARE+(PRESENTE)+FESTA+COMINCIARE+(PRESENTE)+CHI+BALLARE+CHI+CANTARE+CHI+MANGIARE
ma all'improvviso il cielo si fa scuro e un fulmine cade proprio poco lontano dai festeggiamenti.||||CIELO+IMPROVVISO+SCURO+DIVENTARE+(PRESENTE)+FULMINE+CAD+ERE+(PRESENTE)+PROPRIO+POCO+LONTANO+FESTEGGIAMENTI
il bosco diventa rapidamente rosso per le fiamme: il fulmine ha provocato un incendio!||||BOSCO+RAPIDAMENTE+ROSSO+DIVENTARE+(PRESENTE)+FIAMME+FULMINE+INCENDIO+PROVOCARE+(PASSATO)
i poveri animali spaventati scappano verso il torrente per salvarsi.||||ANIMALI+POVERI+SPAVENTATI+VERSO+TORRENTE+SCAPPARE+(PRESENTE)+SALVARSI
ii saggio gufo, allora, richiama a sé i suoi amici uccelli per andare a raccogliere l'acqua con grandi foglie e gettarla sul fuoco.||||GUFO+SAGGIO+ALLORA+UCCELLI+AMICI+RACCOGLIERE+(FUTURO)+ACQUA+GRANDI+FOGLIE+RICHIAMARE+(PRESENTE)+GETTARE+(FUTURO)+SU+FUOCO
in breve l'incendio è spento e il bosco è salvo.||||INCENDIO+BREVE+SPENTO+ESSERE+(PRESENTE)+BOSCO+SALVO
l'incendio è finalmente domato e, anche se la festa è rovinata, il bosco è salvo!||||INCENDIO+FINALMENTE+DOMATO+ESSERE+(PRESENTE)+FESTA+ROVINATA+ESSERE+(PRESENTE)+BOSCO+SALVO
mentre un leone dormiva in un bosco, topi di campagna facevano baldoria.||||LEONE+DORMIRE(PASSATO)+BOSCO,+TOPI+CAMPAGNA+FARE(PASSATO)+BALDORIA
uno di loro, senza accorgersene, nel correre si buttò su quel corpo sdraiato.||||UNO+LORO+CORRERE(PASSATO)+BUTTARSI(PASSATO)+CORPO+SDRAIATO
povero disgraziato!||||POVERO+DISGRAZIATO
il leone con un rapido balzo lo afferrò, deciso a sbranarlo.||||LEONE+BALZO+RAPIDO+AFFERRARE(PASSATO),+DECIDERE(PASSATO)+SBRANARE
il topo supplicò clemenza: in cambio della libertà, gli sarebbe stato riconoscente per tutta la||||TOPO+SUPPLICARE(PASSATO)+CLEMENZA+CAMBIO+LIBERTÀ+RICONOSCENTE+VITA
vita.||||/+(CONTINUAZIONE+DELLA+FRASE+PRECEDENTE)
il re della foresta scoppiò a ridere e lo lasciò andare.||||RE+FORESTA+SCOPPIARE(PASSATO)+RIDERE+LASCARE(PASSATO)+ANDARE
passarono pochi giorni ed egli ebbe salva la vita proprio per la riconoscenza del piccolo topo.||||GIORNI+POCHI+PASSARE(PASSATO)+VITA+SALVA+RICONOSCENZA+TOPO+PICCOLO
cadde, infatti, nella trappola dei cacciatori e fu legato al tronco di un albero.||||CADERE(PASSATO)+TRAPPOLA+CACCIATORI,+ESSERE(PASSATO)+LEGATO+TRONCO+ALBERO
il topo udì i suoi ruggiti di lamento, accorse in suo aiuto e, da esperto, si||||TOPO+UDIRE(PASSATO)+RUGGITO+LAMENTO,+ACCORRERE(PRESENTE)+AIUTO,+ESPERTO+RODERE(PASSATO)+CORDA
mise a rodere la corda.||||(CONTINUAZIONE+DELLA+FRASE+PRECEDENTE)
dopo averlo restituito alla libertà, gli disse:||||DOPO+RESTITUIRE(PASSATO)+LIBERTÀ,+DIRE(PASSATO)
tempo fa hai riso di me perché credevi di non poter ricevere la ricompensa del bene che mi hai||||TEMPO+PASSATO+RIDERE(PASSATO)+PERCHÉ+CREDERE(PASSATO)+NON+POTERE(PASSATO)+RICEVERE+RICOMPENSA+BENE+FARE(PASSATO)
fatto. ora sai che anche noi, piccoli e deboli topi, possiamo essere utili ai grandi.||||FARE+ORA+SAPERE(PASSATO)+ANCHE+NOI+TOPI+PICCOLO+DEBOLE,+POTERE(PRESENTE)+ESSERE+UTILE+GRANDE
un asinello un po' troppo vanesio, si vantava sempre con gli altri animali, del proprio coraggio e della propria forza.||||ASINELLO+VANESIO+ANIMALI+ALTRI+CORAGGIO+PROPRIO+FORZA+PROPRIA+VANTARE(SE)(PASSATO)
un giorno ricevette una inaspettata proposta dal più importante felino della foresta: il leone.||||GIORNO+UNO+LEONE+FELINO+IMPORTANTE+PIÙ+FORESTA+PROPOSTA+INASPETTATA+RICEVERE(SE)(PASSATO)
costui disse all'asino: "ho pensato che, in fondo, potremmo esserci di reciproco aiuto. vorrei che tu mi aiutassi nelle battute di caccia e per questo avrei deciso di costituire una società con te"||||LEONE+ASINO+PENSARE(SE)(PASSATO)+AIUTO+RECIPROCO+AIUTARE+CACCIA+BATTUTE+DECIDERE(SE)(PASSATO)+COSTITUIRE+SOCIETÀ
onoratissimo, l'asinello rispose: "sono lusingato della tua richiesta e accetto volentieri!"||||ASINELLO+ONORATISSIMO+LUSINGATO+RICHIESTA+TUA+ACCETTARE(SE)(PASSATO)
così ebbe inizio la loro collaborazione reciproca.||||COLLABORAZIONE+RECIPROCA+INIZIARE+(PASSATO)
una mattina, di buon ora, si incamminarono verso una caverna dove avevano visto rifugiarsi un numeroso gruppo di capre selvatiche.||||MATTINA+UNA+CAVERNA+VERSO+INCAMMINARE(SE)(PASSATO)+CAPRE+SELVATICHE+GRUPPO+NUMEROSO+VEDERE(SE)(PASSATO)+RIFUGIARE(SE)(PASSATO)
il re degli animali si fermò sulla soglia con l'intenzione di catturare le prede una per volta appena sarebbero uscite dal rifugio.||||LEONE+RE+ANIMALI+SOGLIA+FERMARE(SE)(PASSATO)+INTENZIONE+CATTURARE+PREDE+USCIRE(PASSATO)+RIFUGIO
l'asino, invece, si era intrufolato nella grotta ed aveva cominciato a lanciare ragli acutissimi per spaventare le povere bestiole causando un incredibile putiferio.||||ASINO+GROTTA+INTRUFOLARE(SE)(PASSATO)+COMINCIARE(SE)(PASSATO)+LANCIARE+RAGLII+ACUTISSIMI+SPAVENTARE+BESTIOLE+POVERE+CAUSARE(SE)(PASSATO)+PUTIFERIO+INCREDBILE
le capre terrorizzate ruzzolarono una sull'altra e si precipitarono verso l'uscita dove però, trovarono ad attenderle l'astuto leone che riuscì ad imprigionarle tutte.||||CAPRE+TERRORIZZATE+RUZZOLARE(PASSATO)+PRECIPITARE(PASSATO)+USCITA+VERSO+LEONE+ASTUTO+TROVARE(PASSATO)+IMPRIGIONARE(PASSATO)
quindi, finalmente l'asino uscì dalla grotta e, con aria trionfate esclamò: "hai visto come sono stato bravo? sono un grande cacciatore! sarai contento del tuo socio!"||||ASINO+GROTTA+USCIRE(PASSATO)+ARIA+TRIONFANTE+ESCLAMARE(PASSATO)+VEDERE+COME+ESSERE(PASSATO)+BRAVO+ESSERE(PASSATO)+CACCIATORE+GRANDE+CONTENTO+SOCIO+TUO
"certo!" rispose con una risata il leone "anzi, a dirti la verità, avrei avuto anch'io paura di te se non ti conoscessi bene e non sapessi che sei solo un asinello!"||||LEONE+RISATA+RISPONDERE(PASSATO)+VERO+PAURA+AVERE(PASSATO)+TE+SE+NON+CONOSCERE(PASSATO)+SE+SAPERE(PASSATO)+ESSERE(PASSATO)+SOLO+ASINELLO
tutto soddisfatto l'asino andò buono, buono a brucare un po' d'erba mentre il leone si apprestava a fare un succulento banchetto!||||ASINO+TUTTO+SODDISFATTO+BUONO+BUONO+ANDARE(PASSATO)+BRUCARE+ERBA+MENTRE+LEONE+APPRESTARE(PASSATO)+BANCHETTO+SUCCULENTO
le persone che, valendo poco, si vantano esageratamente con chi le conosce bene, rischiano di essere beffate.||||PERSONE+VALERE+POCO+VANTARE(SE)(PASSATO)+CON+CONOSCERE+BENE+RISCHIARE+ESSERE+BEFFATO
il leone va alla guerra||||LEONE+GUERRA+(ANDAREPRESENTE)
il leone, re della foresta, decise un bel giorno di fare una guerra e, come fanno tutti i re, diramò un bando fra tutti gli animali suoi sudditi.||||LEONE+RE+FORESTA+DECIDERE+(PASSATO)+GUERRA+FARE+BANDO+DIRAMETE+(PASSATO)+ANIMALI+SUDDITI
gli animali vengano da ogni parte della foresta per aiutare il loro re a fare la guerra. vengano tutti, senza nessuna esclusione, per prendervi parte.||||ANIMALI+FORESTA+(VENIREFUTURO)+AIUTARE+RE+GUERRA+(VENIREFUTURO)+TUTTI+PARTECIPARE
vennero tutti, dai più grandi ai più piccoli. tutti erano stati invitati perché il leone aveva detto che tutti avrebbero avuto un compito in guerra.||||TUTTI+(VENIREPASSATO)+GRANDI+PICCOLI+INVITARE+(PASSATO)+LEONE+DIRE+(PASSATO)+TUTTI+COMPITO+DOVERE+(PASSATO)+GUERRA
